format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
473 bolt 2 run 0
474 bounce 3 run 0
475 bounce 0 run 0
476 canter 0 run 0
477 canter 1 run 0
478 climb 1 run 0
479 drift 5 run 0
480 drift 4 run 0
481 float 6 run 0
482 fly 6 run 0
483 fly 1 run 0
484 fly 10 run 0
485 gallop 0 run 0
486 gallop 1 run 0
487 glide 2 run 0
488 hop 4 run 0
489 hop 5 run 0
490 hop 1 run 0
491 hurtle 0 run 0
492 jump 4 run 0
493 limp 2 run 0
494 lurch 2 run 0
495 march 1 run 0
496 run 24 run 0
497 scramble 2 run 0
498 sidle 1 run 0
499 stagger 2 run 0
500 streak 1 run 0
501 stumble 2 run 0
502 sweep 1 run 0
503 totter 0 run 0
504 tramp 1 run 0
505 tramp 0 run 0
506 travel 3 run 0
507 trek 1 run 0
508 trot 0 run 0
509 trot 2 run 0
510 vault 1 run 0
511 walk 0 run 0
512 walk 3 run 0
513 walk 1 run 0
514 declare 1 declare 1
515 blink 0 wink 0
516 nod 1 wink 0
517 wink 0 wink 0
518 seize 1 obtain 0
519 seize 1 obtain 0
520 seize 2 obtain 0
521 carry 28 carry 1
522 carry 22 carry 1
523 drag 2 carry 1
524 haul 1 carry 1
525 pull 5 carry 1
526 pull 9 carry 1
527 pull 7 carry 1
528 tug 4 carry 1
529 tug 5 carry 1
530 tug 1 carry 1
531 pour 1 pour 0
532 pour 0 pour 0
533 spew 0 pour 0
534 spill 3 pour 0
535 learn 0 learn 1
536 read 4 learn 1
537 reimburse 0 contribute 3
538 carve 2 scribble 0
539 copy 1 scribble 0
540 forge 1 scribble 0
541 paint 3 scribble 0
542 print 3 scribble 0
543 write 6 scribble 0
544 leak 0 substance_emission 0
545 pour 1 substance_emission 0
546 pour 0 substance_emission 0
547 radiate 1 substance_emission 0
548 spew 0 substance_emission 0
549 spill 3 substance_emission 0
550 spill 4 substance_emission 0
551 spurt 0 substance_emission 0
552 claw 3 swat 0
553 paw 1 swat 0
554 peck 1 swat 0
555 stab 0 swat 0
556 chip 1 cut 0
557 chip 3 cut 0
558 clip 1 cut 0
559 cut 37 cut 0
560 cut 34 cut 0
561 cut 34 cut 0
562 hack 6 cut 0
563 scrape 2 cut 0
564 scrape 0 cut 0
565 slash 2 cut 0
566 blow 1 split 0
567 break 7 split 0
568 cut 37 split 0
569 kick 3 split 0
570 pull 5 split 0
571 pull 9 split 0
572 pull 7 split 0
573 slip 3 split 0
574 tear 2 split 0
575 tug 5 split 0
576 bathe 0 dress 0
577 change 1 dress 0
578 change 3 dress 0
579 dress 4 dress 0
580 dress 13 dress 0
581 shave 0 dress 0
582 strip 5 dress 0
583 strip 1 dress 0
584 suck 2 chew 0
585 nibble 1 chew 1
586 peck 1 chew 1
587 gulp 1 gobble 0
588 bolt 3 gobble 1
589 balance 1 spatial_configuration 0
590 bow 0 spatial_configuration 0
591 hang 9 spatial_configuration 0
592 hang 1 spatial_configuration 0
593 hang 5 spatial_configuration 0
594 hang 6 spatial_configuration 0
595 hang 8 spatial_configuration 0
596 hover 2 spatial_configuration 0
597 project 3 spatial_configuration 0
598 rest 3 spatial_configuration 0
599 sag 0 spatial_configuration 0
600 squat 1 spatial_configuration 0
601 stand 2 spatial_configuration 0
602 stoop 0 spatial_configuration 0
603 straddle 1 spatial_configuration 0
604 swing 5 spatial_configuration 0
605 bow 0 assuming_position 0
606 flop 2 assuming_position 0
607 rise 7 assuming_position 0
608 slump 2 assuming_position 0
609 stoop 1 assuming_position 0
610 straddle 1 assuming_position 0
611 burn 3 light_emission 0
612 flare 0 light_emission 0
613 flash 2 light_emission 0
614 incandesce 1 light_emission 0
615 continue 3 continue 0
616 continue 0 continue 0
617 catapult 0 throw 1
618 kick 3 throw 1
619 throw 6 throw 1
620 conduct 2 accompany 0
621 escort 0 accompany 0
622 lead 2 accompany 0
623 billow 2 entity_specific_modes_being 0
624 burn 3 entity_specific_modes_being 0
625 corrode 1 entity_specific_modes_being 0
626 decay 0 entity_specific_modes_being 0
627 decompose 0 entity_specific_modes_being 0
628 erode 1 entity_specific_modes_being 0
629 flow 3 entity_specific_modes_being 0
630 grow 1 entity_specific_modes_being 0
631 grow 3 entity_specific_modes_being 0
632 propagate 5 entity_specific_modes_being 0
633 seethe 1 entity_specific_modes_being 0
634 stream 2 entity_specific_modes_being 0
635 sweep 1 entity_specific_modes_being 0
636 ascend 6 escape 0
637 ascend 4 escape 0
638 ascend 0 escape 0
639 ascend 5 escape 0
640 depart 0 escape 0
641 leave 3 escape 0
642 come 3 escape 1
643 fall 0 escape 1
644 fall 13 escape 1
645 fall 17 escape 1
646 plunge 1 escape 1
647 rise 7 escape 1
648 hear 1 see 1
649 cry 0 breathe 0
650 curl 0 coil 1
651 bat 1 throw 2
652 bunt 0 throw 2
653 flip 6 throw 2
654 hit 5 throw 2
655 loft 3 throw 2
656 pass 1 throw 2
657 punt 1 throw 2
658 shoot 4 throw 2
659 slam 0 throw 2
660 consult 2 meet 0
661 consult 1 meet 0
662 meet 3 meet 0
663 meet 3 meet 0
664 play 17 meet 0
665 play 21 meet 0
666 visit 3 meet 0
667 box 2 meet 1
668 debate 0 meet 1
669 carpet 2 butter 0
670 paper 0 butter 0
671 plaster 4 butter 0
672 saddle 1 butter 0
673 seed 4 butter 0
674 stain 1 butter 0
675 stress 1 butter 0
676 string 5 butter 0
677 wreathe 2 butter 0
678 crown 2 butter 0
679 wear 4 simple_dressing 0
680 wear 3 simple_dressing 0
681 choke 3 suffocate 0
682 choke 1 suffocate 0
683 choke 4 suffocate 0
684 choke 4 suffocate 0
685 choke 0 suffocate 0
686 suffocate 4 suffocate 0
687 smell 1 smell_emission 0
688 cycle 2 vehicle 0
689 raft 2 vehicle 0
690 give 21 give 0
691 give 27 give 0
692 rent 0 give 0
693 rent 0 give 0
694 sell 2 give 0
695 leave 3 fulfilling 0
696 leave 2 fulfilling 0
697 kill 4 murder 1
698 kill 11 murder 1
699 avoid 0 avoid 0
700 avoid 1 avoid 0
701 port 2 send 1
702 post 0 send 1
703 return 2 send 1
704 shift 6 send 1
705 transfer 5 send 1
706 transport 2 send 1
707 transport 2 send 1
708 bow 0 curtsey 0
709 genuflect 0 curtsey 0
710 buffet 1 pelt 0
711 color 1 coloring 0
712 stain 1 coloring 0
713 stain 0 coloring 0
714 anger 0 marvel 1
715 fret 5 marvel 1
716 hunger 0 marvel 1
717 marry 0 amalgamate 3
718 care 1 marvel 3
719 care 1 marvel 4
720 fret 5 marvel 4
