format:
number verbclassinstance numberedinstance propbankinstance numberedinstance
584 give 0 loan 0
585 fit 0 seat 0
586 steal 0 extort 0
587 captain 0 bully 0
588 captain 0 chauffeur 0
589 carve 0 mow 0
590 preparing 1 fix 1
591 captain 0 double-cross 0
592 pocket 1 pocket 0
593 appoint 0 re-elect 0
594 tape 0 seal 0
595 scribble 0 scribble 0
596 steal 0 take 14
597 pocket 1 jail 0
598 steal 0 repossess 0
599 break 0 break 4
600 mix 0 pool 0
601 funnel 1 dip 0
602 entity_specific_modes_being 0 rage 0
603 correspond 1 feud 0
604 other_cos 0 overturn 0
605 throw 0 catapult 0
606 light_emission 0 shine 0
607 avoid 0 evade 0
608 create 0 concoct 0
609 run 0 stroll 0
610 see 0 detect 0
611 put 0 situate 0
612 rummage 0 delve 0
613 characterize 1 retrain 0
614 steal 0 embezzle 0
615 concealment 0 conceal 0
616 fill 1 staff 0
617 separate 2 segregate 0
618 other_cos 0 loosen 0
619 create 0 style 0
620 other_cos 0 cheapen 0
621 captain 0 pioneer 0
622 manner_speaking 0 confess 0
623 characterize 1 take 15
624 occurrence 0 recur 0
625 other_cos 0 loosen 1
626 other_cos 0 degenerate 0
627 tape 0 chain 0
628 spatial_configuration 0 roost 0
629 occurrence 0 ensue 0
630 other_cos 0 heal 0
631 cheat 2 pardon 0
632 judgement 0 excuse 0
633 linger 1 hesitate 0
634 other_cos 0 mellow 0
635 fit 0 fit 0
636 other_cos 0 thin 1
637 amuse 0 galvanize 1
638 push 0 thrust 0
639 crane 0 twitch 0
640 obtain 0 retrieve 0
641 push 1 jerk 0
642 search 0 probe 0
643 amuse 0 jolt 0
644 other_cos 0 proliferate 0
645 run 0 speed 1
646 split 0 blow 0
647 admire 1 admire 0
648 admire 1 appreciate 0
649 amuse 0 hearten 0
650 bill 0 tax 0
651 run 0 stray 0
652 amuse 0 entertain 1
653 calibratable_cos 0 mushroom 0
654 admire 1 relish 0
655 begin 0 proceed 0
656 separate 2 tell 1
657 correspond 1 bargain 0
658 amuse 0 repel 0
659 other_cos 0 enlarge 0
660 other_cos 0 deepen 0
661 concealment 0 sequester 0
662 disassemble 0 detach 0
663 cheat 2 sap 0
664 remove 0 subtract 0
665 coil 0 curl 1
666 begin 0 commence 0
667 spray 1 wrap 0
668 fill 1 blanket 0
669 manner_speaking 0 trumpet 0
670 murder 0 slay 0
671 spray 1 drape 0
672 other_cos 0 improve 1
673 spank 0 pummel 0
674 build 0 churn 0
675 calibratable_cos 0 appreciate 1
676 exist 0 linger 0
677 build 0 forge 0
678 funnel 1 funnel 0
679 smell_emission 0 smell 0
680 carve 1 shred 0
681 other_cos 0 reproduce 0
682 begin 0 cease 0
683 steal 0 confiscate 0
684 avoid 0 boycott 0
685 run 0 stagger 0
686 other_cos 0 lighten 0
687 amuse 0 overwhelm 0
688 equip 1 burden 0
689 image_impression 0 mark 1
690 sound_existence 0 reverberate 0
691 amuse 0 amaze 0
